Mack,Adeline,63
Rivera,Raymond,46
Williamson,Sylvia,23
Ramos,Roy,21
Delgado,Cecelia,40
Parks,Ronnie,32
Howard,Isaiah,61
Brock,Alvin,49
Black,Kate,29
Murray,Danny,21
Daniel,Jerry,25
Hale,Margaret,37
Maxwell,Effie,30
Watkins,Madge,59
Cummings,Louis,62
Holt,Francis,27
Clarke,Matthew,26
Shaw,Jane,28
Vargas,Luella,29
Norman,Ryan,54
Freeman,Cecilia,23
Wilson,Bernard,48
Cox,Callie,28
Cohen,Jeremy,26
Watkins,Lawrence,60
Higgins,Amelia,45
Patrick,Rosalie,37
Spencer,Johnny,56
French,Georgie,63
Briggs,Marie,54
Daniels,Charles,26
Cox,Carl,46
Rodgers,Walter,31
Hoffman,Elizabeth,18
Aguilar,Iva,39
Coleman,Gregory,32
Cooper,Lou,64
Schwartz,Leonard,29
Clarke,Violet,45
Kim,Willie,53
Green,Celia,19
Robinson,Lily,54
Mills,Jay,25
Carlson,Alejandro,51
Foster,Estelle,47
Wolfe,Isaac,62
Watts,Minnie,51
Potter,Theodore,63
Allen,Jesus,50
Stevens,Lucas,60
Stewart,Timothy,59
Christensen,Philip,21
Carter,Ophelia,61
Austin,Alejandro,50
Foster,Ryan,38
Hayes,Chad,60
Cummings,Isabelle,61
Walker,Augusta,50
Sims,Garrett,22
Fowler,Edna,22
Luna,Andre,30
Caldwell,Hattie,49
Chavez,Bernice,62
Hanson,Ora,49
Fields,Mary,20
Underwood,Amelia,32
Carr,Christine,53
Flowers,Maude,47
Wood,Essie,45
Garrett,Craig,19
Fowler,Teresa,62
Steele,Warren,19
Oliver,Gregory,24
Santiago,Lottie,63
Mullins,Susan,22
Fleming,Lucile,55
Vargas,Aiden,58
Valdez,Leroy,29
Ballard,Fanny,24
Castillo,Kate,47
Larson,Hunter,25
Hicks,Mark,54
Ryan,David,20
Manning,Polly,53
Barton,Jacob,58
Wolfe,Martin,36
Hale,Annie,53
Rogers,Jeffery,22
Vaughn,Jerry,55
Hart,Max,30
Kennedy,Francis,25
Douglas,Leo,60
Diaz,Charlie,37
Robbins,Amanda,65
Anderson,Gilbert,38
Hill,Milton,43
Norris,Eugenia,44
Floyd,Jimmy,56
Terry,Mathilda,43
Boone,Aiden,47

